puuid,leaguePoints
oL6slrP2Vba6Fm5AW2kfTkYGJOLaA3FesC7Q2W5cxOyjbALNauj-n8EFkT_JTaLHsnaiFGik2vq8BA,759
w1RZok10FqstgyWsJTHKd4M7d15jYyI2Co0R5EcKosusGgu99x1gkFRQPTj8TjTbVAdb7vXYqLWagQ,759
tQrz6eMQyh7cktORK48BoxOaj3dSwAyPTMRuyAEX5x-AMG7z4G5-VoQnSGAcST7QUEMblnRTpi1iww,759
ZSRg_SuZejlzFtaX6yygmqvmlusO4XJxRw9HoyGELP1mW83QITeMZ-V_DvoSDwq0BGItfJCa5o03oQ,758
Q-J9LA2SzORQr1FHn3kQaKS-czhftRv6fYQhYvBQwEQb1OWUBFwHogpPPWzHHgKzkI_BwzINfbM1ug,757
C-pmLakgIq-WxMEyguBzbG67evleVkFs7d_oVPDdYp35YkwswTNZCxu44N4h9g6Rs9BWRtfgT2CCiQ,757
WvTM2s_9lYnunSoRXgPoSGPO0PIzscVgGpd-55PvOpynu5_MIqNMAnjjPB4XDHvMeliiLDQHFbsjrQ,756
j1Zfuqqry0-TAyGN_anbA9S0JU1dlHFVS001ZXYo6WyNplQE9MTaN_FlfOz_kWyDYN-lxPPKu06_mQ,756
UtQCFZOaqdYYUphabl84CETsNW1umR9Sg1rqxtWZtUy_nyr3sO0D04vS9IgyunNOkd4r-viN6NhStQ,756
ReuFzFjkI9MC1ANfS-EoSv3Kr5Vd9XdEQbzMH86KWEkrm8zqTO8e_wIIBl_LIw9ghO-xb3kmR5fXTg,755
DGOWUhv2V6OzYKpRqIu_JKNN3K9hnsyTn8ltkTB5_EuCoavx6tNE1fVkpwNawNHaeZPgBSx5lDiKqg,754
ljlvVZJzwzrx5kswZ8G5N3yW-BqglcrdqKA8k_QB5OHueernR2ruHtKT1k_bX8j9rUBZX--W1Fvk_Q,754
jwyZnsqj9ivuE3Roc04XI1PqLQPqAhE5lr4DOEVeGQ68KGf64z2DH9zROvPPLtemDG90VacbabNQrA,753
FPw4IS7jvdDCvk_Y3EeBncvgCAsFXG99lhsfRwFQlbkSsBIeVUYAef0djCd8mPMM7qP7YRfTmoB15w,753
QpiBlBhybQ5gH9V-M59c0Wa0z6BNXez5_cAh6slAloTO5g1D8qpZ-L5WoJw8E0hx-WH2Db1E7LPaYA,752
DWHdSh9xiuj_GjCKyrv_fdm2uITly29xFVLDADO9PxkEwfuLXZvTWvFbSbn4OwEME0m4mdd_BZtxtg,752
ohSHdnCLuee1mkuOyW3hn6gTeUrPDlJCa8rcuHO83Ug4LaMLrg1rlotRya-iAdjKQbB-8KsneyfKxQ,752
7z3_ndIMNWHQoX9b9PpF83_WrAcJxs5TN1LTfkwrrBpgQCYxnwEZSTsXgQkVDCLi1yLtaSdTV7z3zA,752
xkNRe-17H_RQ15p7E4gj6HzgUd1qpArGOiPD2_Td85ifaS8O2aaZYZXzAIt_wog7ZPrfrmECn3KDQg,752
F3G4BNTr4W_k9t2rYNIvKZa-IAzm5BH3aC5LvWfpQBEeapRSRuSTEmDcR_KJ1nVyJ_j8cW966f8mMg,751
cfT_-uhBfGNwBJylQ5mb9CHh_JazWWGTJI99Y8ijizMt3c3jtnrxoPNiu0_i47Br3U4BB0vWXGc8pQ,750
5-bjnKSFshjuO1Gd0CXFW7IYDbdTaCirJm2IO5pV_r2K8FiwDp-2F3kM5ag2Fe5OhlsvM90ixhKkZA,750
Nb8kx-J9u2pATyV4580JRY1jaRSPqqOgVC9n0rr_0e1EffWxCykfoYyMjWdF_jZJlKyeD66yn3y8fA,750
h3SXNUQptUPyzELw0U2HJJqb-G6n-BqyIyywnAv9flQ7oHI8Hvnt0L4zZbPzh5weXK4hLsWM8k8Bqg,749
FNgeqe1g9GwPsJUA3bwIFV6U-lXBkNem8hn10cyY8y3vWzy34Vuaz8pSWFAWJiQzBa_TEo1OhKUlRQ,749
lVEi4iUJQ6EJhEdaimGaMLXCnkbeD-wYZQow93dYcEi6Q5GrCNsuaZEQiF91bS4SEIETToKxkfBxaQ,748
UZRp5Oj62mbH3GL3ugm9QyRzEJCBr4PC-FYgl46xpn-OL6_Fsd4ukil3RDYX75ype5nsyH0w0mfVrA,747
Wk0CmbliYp2ZFg84NtMJskGyQhdI4zHmIT-8WnfbJn3iP5l8DPqvo8wzpyO2C3uF7r2H_XszpdphVg,747
SzbYR21fonkngR1XAzraAcLPc1VunLAJq1O_UsMMLSvIZqg4wZEZXgMO2BVdk1WFltal223sNAt4ww,747
QncXKShBlcK1A9kOeNkBqzvx0jJ5dWxT4r7qgFpVZR6bT6SLm1TCBts0me95Nv-m1VydRYwaAFtOsQ,746
ZFEbJnYusimm8XsRKzVzRN7nqJTZcWxr5ZA0a5dInYxq6AT2lWnbWAriUofjgbZDGKkNEQ7rcgqqGg,745
XdJHfoiTwe4ODRoPOb9weWQcII_zy9e6o3BVW2u6UpCtkcwzVbxUCoU71iVXRGjJnQX-GV9g4NPy1Q,745
rFPnoGYP1_DH4HYcdHtwdrnCq_TBbmHSSXvii5HudbLcGXr8lnPvWC9fyGINpCRHRDHD3Sldu0ktAw,744
6P0t08fkBK3l5X8wMny1kkw-ulq5iFT1PLarqTEcxqfVaqyHlnZrL1E_ar5Bm78BWKptIIBpFGbdWg,744
qSYGh3vPoWZXjfeEB8jJ_TR6kEQssWB4rYS89h07yOV1iGUm_b9gCE3qZFwQqGFJMimcThE-KxkCWw,744
N8GZWnU6KWFfkCA9jcgEE0uV2GYPNSHhDAH0SNsOdfQJCCnniW4HZPVV_oT6p6rMirtEtWhy9a_v9Q,743
BkmNJ5jKz1nciZW2DPpOXzvpmiZ9_K1dZOqwf33zV1P1buUpAunCspOewmY1qCrMCX6nQtYloDnhcQ,742
MlUXt7YNcg1yeRPYiYDsd-PeizJ3TwXbfaIj53N-m9Xouq4adzv5bK7Wkosscn0dwtU0CAzzfnieug,742
B-oMPHtFOlZ9MQa0bIV8mwQuQ6XTEjRKrncxKjEWumPssjkYmVYDPtRypBl3iEOR85t5h_ScsZZANQ,742
i3xcpo8I3ymmUlNhN3Tae1gkLWKhYi9ABqoY08eUm7LWcqpj5lvMmuswulALbeUB5wDO_CeK9kjEBA,742
iQ3i0kvvXVLUid9Y6NyabxZ-HxWCxHHOx5ofRHmRT95gl28d3OBF91Jt0SXc-_RhIBi_D7rbMstQBw,742
3LzVupUW-Lu8uvjev6dWttefD1oVaRxa0LVLvqhQxoPC0QcsJdJmfSLaszj7xiBk5ay5NoBm-oYu6w,741
MfuUeEu0zGwb3FNztuWF_krjbSxCLQgYhSCrl97RmtPcoxZmwQNv_ea4nQMXaj_eGA_0RJ060psWeA,741
KGYDbOiIb7Tq-d-INr-UvffM9N4FYX1fQZSYpqFBu5g-e2eZIvkmXcH_MZTl3JAW3Nb6yG5xQRkYgQ,740
QyrXP_3PH2uBqLqRi55OaNRajdpqigFg-y8gtlo624BiuBJSbnb7iHTv3Jh12_jgnrbQFiWUR4Ntmg,740
eutdzBjrmjxAGniPh-o_iiC-yNjEYUjxoLhpfMKo0VNg7oHFYDnKKSHZEl_j3i-55V2U0k-_GjxeCg,740
7t2tMVYEbgtyP3gQElV_qDnWJwEr4Ww4nMo841ZFMKjEYR2UZTfYwEcBbTqOG05fXwoId2wB38GYQQ,739
