puuid,leaguePoints
4n-XpArAdaxEY4_HF7H91u_8uN_IFZpOEK-EhFFZzWJejetkomFs7OgZJZkHYX-9k0O9kK3jR5VXgg,1019
jOVUqiVjN7yRIvD1Bh1iLps3v4BtbzMxvcpAJ46apjddCjQBw2NyHPL8JHcJ9Yhde2r92pnvmEtT6w,1018
8RYpR-Q3wmEz1ELdZLwzaX9M2bM_uKCIhoLDJNyMmCkAacM5VA1fr3UQhto_4JW1vMQ7CBnMzMQ8ow,1018
zQgk9vJScnvchO1KpmEU4qNnfkS1c6nraki4TWdKXry2G--5O1f_9s0uKjnMXdOLMQ2DZ4DNpdxl_A,1015
X8iD0LFsqvgQFoHpSHHj-tt9ni5d1vhGwR1X6Kho_mqbag9QhXxaJh54uYtBcl_Tp9pnxJAcSkF3Vg,1014
r4QxtyTxoYuiMEe4B4e5rmtEdGjRzbvHS0txbt04o7ez608-Ibgcmo-_0lwo1c9Q-S2O-7eJ3Hh8pg,1013
4RHamTmtLOQRlLJYdTeIJC-cL3mw9gf_zFSij2URNtRZd7g1d3JgHUlzVIeRDvoXKDUxdQS6D4w8qg,1011
soJVDfItkdvPJHb92uqfqSe0ceB5g8MsX5xgFckoho-6TBwZmWndpIhq_Vc0L5MHtTdIIB7nqkTrCQ,1011
0nvUfv6hT05IySphwA0UfQS7KasEKqJGIFN6Ox2YT3ntK4cttOMPKwbbGpmUXfTtK3bKdAHueH2vdA,1011
mbs9YT4_Mo9fTc1IycNAErLXRVyOxe7QIz4ONvTXBYYYbLrPVR8SerQJKiPDfJq4dOLRwZrKh01bhQ,1010
JWnrAIuMjGkMJ3YgwkTe4A1HYb3kzqMt9KD7xWVXDQGtUZe61qnYJyvgVyS_zdMzUa05WvKZhsJnQg,1009
mRVFHXtB4eoVdKXLw04z9qq5TMMZpa5FUDpSsekaf2OM-fHgGq6EMoyeu7HZHr6Ofcfhj45djOLcWg,1009
bOgrJAv82vZDHeEwdoGYIzg6C4QCyL4gvA4RRHIh_fi6VRkU1N5GIaL7XcTzcYJAjCuJ4yueOz-lLQ,1008
4fDe9iE_HSRvy2CMzJg-b8078rA5-15Y29D5y_FFL2CvdxqyndkXBgTXEAS3PbovhwTAIRDaS6PdEA,1008
