puuid,leaguePoints
O_GXJOPFpy0ICR0pVMCdxhpMniY41hEn5q_c1fr247Gc6Uhn6_CG_HAiSxwKYHCsFHdV652JO6pMjw,1208
Wk_KdvQFgY4DGkzjb3puVFDZsNktiW3arWfZz1ugGsYhWxS33Yigh16_cyQcF0talJn0GFrpcTGXqw,1207
f9H_CjTiAT0xrvUnx2Tph2tduY4TByJiWeDaoQXz2PKbYFCfilXjXBVo1VjmrJRpcbnkMocV3_P_fg,1207
FtkcVx5ydl8xlJa5Tl1zZKup1nTazQWwGiNufITCEqT07ET3P9GuxSxROyDe-dde4Hy9PSxak5keqw,1207
zu5Y0THZCIOQ0Nx3gwCwIZoyEKbkhmkIl0ThidVrt6vvhggaxGzPmzvJlWncF1hkWv87uwKx-iAYyQ,1207
1fBoCZ42ij7Ab_0JnemI_imIlG2gwFGWnoFW9p1vud9q2XJUqxNe3wOLOOyVMafgja8GTiE2UT3ZfA,1206
yfKEHS6H9OBTgQwQb2qGRb6NLHMKhtimpCBYlkQqAmV55ydBY2q81IKYgoPfBGyghnaCz2dIdofPsA,1206
nQyglaUx3zfMpVE_oEDJyA1T9YfutYskBtnaCYFBX8PK-YT0SmKMEt9SZus7DW-mUITQEtXjNTWUsQ,1206
tcsT1Qdz8bHfHint6Tx289uDcAgHbUj_c9Wit-IGDekLj2RylzAoUDjA_qDGVdDoOnLbWx_LB-VBVQ,1204
o5xtZc6fYB0O0pxvmmNUUIRSYty_RmSbQCmJU63qw6oni_F-WzYFMXam4YyTJfBsCOBuniDQOvEXag,1203
SgsYg2d3n-AUBmmAeioMohurdZAQRLKwHIvclwJgKEutlQIZO683M6maI9wzhxZgz3vJ-ebFgZij5w,1199
T5zkqT1BzxyI15cR1ZWrP6JTrDPdUpmsLaRcXS1qiSkwfSp8aF1U_wEwe5UWwmWb1c80S_shXBLyrQ,1199
gM2RUaqJFydbg7a5JA4Q7ko7b3JwOaGV9-oxAyFmI8BAmnC0n85o_zyCaMPXKlVJC7qEuthw_QGsmQ,1199
nCqrdDiaFDZhWXfH4oQNHB6dUPth9ESCzmjDAcJM4MyWpau9BGULLFh7YOvBNR3pnd0UL9uu5xhkeA,1199
bfvSCPLsiGkxfrYCmi_NyhQhqBTH-cDBGV2qa2fC-h1yEF2wjrwr7RQwbRDK6EhM1dgzWbyEFw9QoA,1197
QY0fmJi5YQYhSs1eMkXU4H_YVN6ekkOPVPLfYwu_Fisbkzu2ibDjo3IIY2_Duk3yLKY0Aj-_VftIlg,1197
LKZxx0A38_xbRMaRx2MvVdPl5EwhEjLoo_sSjLpO-4831Py_Zc7lBNHmVl-1lEal-I4ZWi5ukzU7YQ,1196
TdN6ENHHvL0Krs3WttrgCFF_7VHSZYodm2fjP4Dr51Fv4l0NIUuj-nNpwZqlbfPl0SvSDKPb5OD-5A,1193
7IeF87L0RGNA2p8LWH9rX7e7S9RLtP1ecbcgGWegvTmcTbAdF-yVL1lJk7olu1E0XMr4LGiVPu0HVg,1193
