puuid,leaguePoints,tier
yfKEHS6H9OBTgQwQb2qGRb6NLHMKhtimpCBYlkQqAmV55ydBY2q81IKYgoPfBGyghnaCz2dIdofPsA,1206,Challenger
nQyglaUx3zfMpVE_oEDJyA1T9YfutYskBtnaCYFBX8PK-YT0SmKMEt9SZus7DW-mUITQEtXjNTWUsQ,1206,Challenger
tcsT1Qdz8bHfHint6Tx289uDcAgHbUj_c9Wit-IGDekLj2RylzAoUDjA_qDGVdDoOnLbWx_LB-VBVQ,1204,Challenger
o5xtZc6fYB0O0pxvmmNUUIRSYty_RmSbQCmJU63qw6oni_F-WzYFMXam4YyTJfBsCOBuniDQOvEXag,1203,Challenger
SgsYg2d3n-AUBmmAeioMohurdZAQRLKwHIvclwJgKEutlQIZO683M6maI9wzhxZgz3vJ-ebFgZij5w,1199,Challenger
T5zkqT1BzxyI15cR1ZWrP6JTrDPdUpmsLaRcXS1qiSkwfSp8aF1U_wEwe5UWwmWb1c80S_shXBLyrQ,1199,Challenger
gM2RUaqJFydbg7a5JA4Q7ko7b3JwOaGV9-oxAyFmI8BAmnC0n85o_zyCaMPXKlVJC7qEuthw_QGsmQ,1199,Challenger
nCqrdDiaFDZhWXfH4oQNHB6dUPth9ESCzmjDAcJM4MyWpau9BGULLFh7YOvBNR3pnd0UL9uu5xhkeA,1199,Challenger
bfvSCPLsiGkxfrYCmi_NyhQhqBTH-cDBGV2qa2fC-h1yEF2wjrwr7RQwbRDK6EhM1dgzWbyEFw9QoA,1197,Challenger
QY0fmJi5YQYhSs1eMkXU4H_YVN6ekkOPVPLfYwu_Fisbkzu2ibDjo3IIY2_Duk3yLKY0Aj-_VftIlg,1197,Challenger
LKZxx0A38_xbRMaRx2MvVdPl5EwhEjLoo_sSjLpO-4831Py_Zc7lBNHmVl-1lEal-I4ZWi5ukzU7YQ,1196,Challenger
